title,state,date,season,precip_type,number,temperature,dew_point,humidity,visibility,uv_index
NA,Alabama,NA,Summer,NA,30680,NA,NA,NA,NA,NA
NA,Alaska,NA,Fall,NA,1261,NA,NA,NA,NA,NA
Report 6496: Bicycling student has night encounter,Rhode Island,1974-09-20,Fall,NA,6496,73.42500000000001,65.72,0.86,2.75,4
NA,Pennsylvania,NA,Summer,NA,8000,NA,NA,NA,NA,NA
NA,Oregon,NA,Spring,NA,703,NA,NA,NA,NA,NA
Report 9765: Motorist and children have daylight sighting near Burns Flat.,Oklahoma,1973-09-28,Fall,rain,9765,61.425,51.03,0.79,10,7
Report 4983: Sighting and vocalizations at a home in Wayne National Forest,Ohio,1971-08-01,Summer,NA,4983,NA,NA,NA,NA,NA
Report 31940: Fishermen and Law Enforcement Officer Report Three Class A Sightings in Same Area Within a Year near the town of Somers,New York,2010-09-01,Fall,NA,31940,80.81,67.34,0.68,6.922,8
Report 5692: Father and son hear vocalizations on Peavine Mt,Nevada,1970-09-01,Fall,NA,5692,NA,32.55,0.45,8.88,8
NA,New Jersey,NA,Fall,NA,438,NA,NA,NA,NA,NA
Report 55269: Dawn sighting at Stevens Brook outside Claremont,New Hampshire,2016-06-07,Summer,rain,55269,64.245,54.64,0.79,9.7,6
Report 59757: Possible daylight sighting of a Sasquatch on the Omaha Indian Reservation,Nebraska,2018-05-25,Spring,NA,59757,77.7,62.77,0.61,8.25,10
Report 751: Hunter describes described being stalked near Minot,North Dakota,2000-04-21,Spring,rain,751,58.955,31.01,0.32,10,6
Report 3339: Deep impressions seen in the snow,North Carolina,1988-03-15,Spring,NA,3339,17.705,9.5,0.79,9.5,7
Report 47215: Female fly fisherman's lucid recollection of classic territorial intimidation behavior of Saquatches ; 6mi NE of Mystic Lake,Montana,1971-12-15,Summer,NA,47215,NA,NA,NA,NA,NA
Report 1757: Two separate sets of large footprints found,Montana,1988-12-15,Winter,snow,1757,7.445,0.16,0.75,10,1
Report 25662: Hiker spots a bigfoot in the mountains east of Butte,Montana,2007-08-15,Summer,NA,25662,64.92500000000001,27.2,0.3,3.67,9
Report 30860: Daylight sighting by camper at Black Mountain Campground near Blue Ridge Parkway,North Carolina,2011-08-21,Summer,NA,30860,70.4,66.09,0.89,7.22,10
Report 13276: Motorist has nightime sighting near Harmony,New Jersey,2005-12-21,Summer,NA,13276,26.54,13.71,0.64,9.91,2
Report 17550: Nighttime sighting by motorist near Mansfield,New Jersey,2007-03-31,Winter,NA,17550,47.150000000000006,22.18,0.41,10,7
NA,New Jersey,NA,Spring,NA,27743,NA,NA,NA,NA,NA
Report 49883: Recollection of a possible late night stalking on Waterloo Road in Allamuchy,New Jersey,2015-10-02,Summer,rain,49883,46.650000000000006,44.41,0.87,9.16,3
Report 4904: Professor and students discover series of large footprints crossing high mountain trail,New Mexico,2000-05-17,Spring,rain,4904,34.875,12.2,0.29,10,12
"Report 16207: Possible vocalizations, knocks heard by hunters in the Gallegos peak area",New Mexico,2006-10-02,Fall,NA,16207,55.555,25.84,0.35,10,7
NA,New Mexico,NA,Summer,NA,26460,NA,NA,NA,NA,NA
Report 28886: Couple driving home has night time sighting near Tres Piedras,New Mexico,2011-02-20,Winter,snow,28886,21.81,18.33,0.7,9.21,3
Report 5697: Three boys encounter sasquatch in eroded terrain,Nevada,1972-08-15,Summer,NA,5697,NA,25.89,0.32,9.62,9
Report 5770: Four feral dogs chase sasquatch,Nevada,1972-08-25,Summer,NA,5770,NA,31.13,0.35,10,9
"Report 3180: Early evening sighting by two children, near Layman",Ohio,1978-07-04,Summer,rain,3180,71.555,62.68,0.76,3.92,5
Report 7220: A man relates a series of occurrences on the family farm involving an upright walking hair covered creature,Ohio,1978-11-01,Winter,rain,7220,49.335,44.53,0.82,4.82,2
Report 4073: White hair covered creature seen at the edge of a cornfield,Ohio,1984-07-04,Summer,rain,4073,75.785,63.32,0.68,5.3,5
Report 7085: Three boys playing games witness a huge creature walking through their front yard,Ohio,1990-07-01,Summer,rain,7085,69.925,67.34,0.79,6.07,5
Report 26830: Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast,Ohio,2009-10-31,Fall,rain,26830,51.715,49.55,0.77,1.97,3
NA,Pennsylvania,NA,Summer,NA,3572,NA,NA,NA,NA,NA
